iter	Passed	Remaining
727	4772	1783
728	4777	1776
729	4783	1769
730	4789	1762
731	4794	1755
732	4800	1748
733	4805	1741
734	4810	1734
735	4818	1728
736	4824	1721
737	4831	1715
738	4836	1708
739	4842	1701
740	4848	1694
741	4853	1687
742	4859	1680
743	4865	1674
744	4870	1667
745	4876	1660
746	4882	1653
747	4887	1646
748	4893	1639
749	4898	1632
750	4904	1626
751	4927	1624
752	4932	1617
753	4938	1611
754	4943	1604
755	4949	1597
756	4958	1591
757	4963	1584
758	4968	1577
759	4974	1570
760	4980	1564
761	4988	1558
762	5003	1554
763	5009	1547
764	5015	1540
765	5021	1533
766	5027	1527
767	5032	1520
768	5038	1513
769	5044	1506
770	5050	1500
771	5056	1493
772	5061	1486
773	5067	1479
774	5073	1472
775	5078	1465
776	5084	1459
777	5089	1452
778	5094	1445
779	5099	1438
780	5105	1431
781	5110	1424
782	5115	1417
783	5121	1411
784	5128	1404
785	5135	1398
786	5141	1391
787	5147	1384
788	5154	1378
789	5159	1371
790	5165	1364
791	5171	1358
792	5176	1351
793	5182	1344
794	5204	1341
795	5209	1335
796	5215	1328
797	5221	1321
798	5226	1314
799	5232	1308
800	5239	1301
801	5245	1295
802	5252	1288
803	5259	1282
804	5266	1275
805	5280	1271
806	5298	1267
807	5305	1260
808	5313	1254
809	5328	1249
810	5336	1243
811	5346	1237
812	5354	1231
813	5361	1225
814	5368	1218
815	5376	1212
816	5384	1206
817	5396	1200
818	5409	1195
819	5419	1189
820	5436	1185
821	5444	1179
822	5452	1172
823	5458	1165
824	5466	1159
825	5472	1152
826	5480	1146
827	5487	1139
828	5493	1133
829	5500	1126
830	5512	1121
831	5518	1114
832	5524	1107
833	5532	1101
834	5539	1094
835	5552	1089
836	5563	1083
837	5571	1077
838	5580	1070
839	5591	1065
840	5604	1059
841	5614	1053
842	5623	1047
843	5632	1041
844	5641	1034
845	5653	1029
846	5661	1022
847	5670	1016
848	5680	1010
849	5688	1003
850	5699	997
851	5706	991
852	5716	985
853	5723	978
854	5731	971
855	5737	965
856	5744	958
857	5751	951
858	5761	945
859	5769	939
860	5775	932
861	5782	925
862	5789	919
863	5795	912
864	5802	905
865	5808	898
866	5814	892
867	5822	885
868	5828	878
869	5834	871
870	5839	864
871	5846	858
872	5852	851
873	5859	844
874	5865	837
875	5871	831
876	5877	824
877	5883	817
878	5889	810
879	5895	803
880	5900	797
881	5906	790
882	5912	783
883	5918	776
884	5924	769
885	5931	763
886	5936	756
887	5942	749
888	5948	742
889	5954	735
890	5960	729
891	5966	722
892	5972	715
893	5980	709
894	5987	702
895	5994	695
896	6006	689
897	6011	682
898	6017	676
899	6040	671
900	6046	664
901	6054	657
902	6060	651
903	6067	644
904	6073	637
905	6079	630
906	6085	624
907	6091	617
908	6098	610
909	6104	603
910	6110	596
911	6116	590
912	6121	583
913	6128	576
914	6134	569
915	6141	563
916	6147	556
917	6154	549
918	6161	543
919	6177	537
920	6182	530
921	6188	523
922	6193	516
923	6199	509
924	6204	503
925	6210	496
926	6215	489
927	6221	482
928	6227	475
929	6232	469
930	6240	462
931	6245	455
932	6251	448
933	6256	442
934	6261	435
935	6266	428
936	6272	421
937	6278	414
938	6283	408
939	6288	401
940	6294	394
941	6300	387
942	6305	381
943	6311	374
944	6328	368
945	6334	361
946	6339	354
947	6344	348
948	6350	341
949	6355	334
950	6361	327
951	6366	320
952	6372	314
953	6377	307
954	6383	300
955	6389	294
956	6394	287
957	6399	280
958	6405	273
959	6411	267
960	6416	260
961	6421	253
962	6427	246
963	6432	240
964	6438	233
965	6443	226
966	6449	220
967	6455	213
968	6460	206
969	6466	199
970	6471	193
971	6476	186
972	6482	179
973	6487	173
974	6492	166
975	6498	159
976	6503	153
977	6509	146
978	6514	139
979	6520	133
980	6526	126
981	6532	119
982	6539	113
983	6544	106
984	6551	99
985	6557	93
986	6563	86
987	6569	79
988	6575	73
989	6581	66
990	6587	59
991	6593	53
992	6599	46
993	6605	39
994	6611	33
995	6617	26
996	6624	19
997	6630	13
998	6636	6
999	6641	0
